Personal Expense,Company Policy,Expense Type,Transaction Date,Payment Type,Business Purpose,Amount,Date Range,Vendor
No,Within Policy,Travel,2025-07-27,Out - of - pocket,Local commute,1518,2025-07-27 to 2025-07-27,Vendor_033cbc42
Yes,Violation - Alcohol Purchase,Transport,2025-07-23,Company Paid,Office stationery,1711,2025-07-23 to 2025-07-26,Vendor_fdd7ce96
No,Violation - Over Limit,Conference,2025-07-08,Out - of - pocket,Client meeting travel,590,2025-07-08 to 2025-07-08,Vendor_06bc9d69
Yes,Violation - Over Limit,Transport,2025-07-16,Company Paid,Local commute,4105,2025-07-16 to 2025-07-19,Vendor_838eec35
No,Violation - Alcohol Purchase,Dinner,2025-07-01,IBCP,Conference accommodation,2696,2025-07-01 to 2025-07-01,Vendor_64ea0f16
Yes,Within Policy,Training,2025-07-16,Company Paid,Team outing,1807,2025-07-16 to 2025-07-16,Vendor_78ef1e80
Yes,Violation - Alcohol Purchase,Travel,2025-07-30,IBCP,Conference accommodation,1973,2025-07-30 to 2025-08-01,Vendor_1052776f
No,Violation - Over Limit,Training,2025-07-21,Out - of - pocket,Team outing,1282,2025-07-21 to 2025-07-22,Vendor_fc41c4fa
No,Violation - Over Limit,Hotel,2025-07-12,IBCP,Team outing,2412,2025-07-12 to 2025-07-13,Vendor_ecd9c1f6
No,Within Policy,Entertainment,2025-07-04,Out - of - pocket,Client meeting travel,3956,2025-07-04 to 2025-07-05,Vendor_600a4624
Yes,Violation - Alcohol Purchase,Snacks,2025-07-23,IBCP,Office stationery,4463,2025-07-23 to 2025-07-24,Vendor_37fa6f38
Yes,Violation - Alcohol Purchase,Travel,2025-07-09,Out - of - pocket,Office stationery,2096,2025-07-09 to 2025-07-11,Vendor_dfa5ade1
No,Violation - Over Limit,Dinner,2025-07-25,IBCP,Business snacks,1532,2025-07-25 to 2025-07-27,Vendor_2f8266a2
No,Violation - Alcohol Purchase,Dinner,2025-07-10,IBCP,Client meeting travel,4442,2025-07-10 to 2025-07-13,Vendor_505eac9a
Yes,Within Policy,Hotel,2025-07-24,Out - of - pocket,Client meeting travel,3822,2025-07-24 to 2025-07-25,Vendor_ccd15e8a
Yes,Violation - Alcohol Purchase,Dinner,2025-07-05,IBCP,Team outing,2841,2025-07-05 to 2025-07-06,Vendor_9015ac1a
No,Within Policy,Miscellaneous,2025-07-27,IBCP,Business snacks,3643,2025-07-27 to 2025-07-29,Vendor_7ece11c9
Yes,Violation - Alcohol Purchase,Miscellaneous,2025-07-31,IBCP,Conference accommodation,3991,2025-07-31 to 2025-08-03,Vendor_c9786e67
No,Violation - Alcohol Purchase,Travel,2025-07-19,Company Paid,Local commute,3242,2025-07-19 to 2025-07-19,Vendor_82742ab4
No,Violation - Alcohol Purchase,Snacks,2025-07-27,Company Paid,Local commute,4643,2025-07-27 to 2025-07-27,Vendor_dda042c6
Yes,Within Policy,Conference,2025-07-17,IBCP,Client meeting travel,4628,2025-07-17 to 2025-07-19,Vendor_9bdc417c
No,Violation - Over Limit,Training,2025-07-03,Company Paid,Training session,137,2025-07-03 to 2025-07-03,Vendor_1f721f41
Yes,Violation - Alcohol Purchase,Transport,2025-07-30,Out - of - pocket,Client meeting travel,3282,2025-07-30 to 2025-08-01,Vendor_df11bc46
No,Violation - Alcohol Purchase,Travel,2025-07-28,IBCP,Conference accommodation,4709,2025-07-28 to 2025-07-29,Vendor_16f5a32e
No,Violation - Alcohol Purchase,Hotel,2025-07-12,Company Paid,Client meeting travel,832,2025-07-12 to 2025-07-14,Vendor_e9185d23
Yes,Violation - Alcohol Purchase,Dinner,2025-07-17,Company Paid,Client meeting travel,3234,2025-07-17 to 2025-07-20,Vendor_9deb089f
No,Violation - Over Limit,Transport,2025-07-23,Company Paid,Client meeting travel,4630,2025-07-23 to 2025-07-25,Vendor_7fb2907c
No,Within Policy,Snacks,2025-07-11,Out - of - pocket,Client meeting travel,1550,2025-07-11 to 2025-07-14,Vendor_6d64d752
No,Within Policy,Training,2025-07-27,Out - of - pocket,Office stationery,1073,2025-07-27 to 2025-07-27,Vendor_121085ef
Yes,Violation - Over Limit,Training,2025-07-03,Out - of - pocket,Business snacks,2652,2025-07-03 to 2025-07-06,Vendor_86a4c1d8
No,Violation - Over Limit,Conference,2025-07-15,Company Paid,Misc work expense,3658,2025-07-15 to 2025-07-18,Vendor_b8faab88
Yes,Violation - Over Limit,Office Supplies / Softwares,2025-07-06,Out - of - pocket,Team outing,1178,2025-07-06 to 2025-07-06,Vendor_eee9495b
Yes,Within Policy,Transport,2025-07-30,IBCP,Office stationery,4982,2025-07-30 to 2025-07-30,Vendor_f3b3213f
Yes,Violation - Alcohol Purchase,Dinner,2025-07-24,Out - of - pocket,Team dinner,2536,2025-07-24 to 2025-07-27,Vendor_990f0f05
No,Within Policy,Transport,2025-07-21,Company Paid,Office stationery,4772,2025-07-21 to 2025-07-22,Vendor_b930f76a
Yes,Within Policy,Transport,2025-07-27,Company Paid,Local commute,1779,2025-07-27 to 2025-07-28,Vendor_6372ec4b
Yes,Within Policy,Training,2025-07-07,Out - of - pocket,Misc work expense,874,2025-07-07 to 2025-07-08,Vendor_79b06527
Yes,Within Policy,Office Supplies / Softwares,2025-07-22,Company Paid,Training session,3983,2025-07-22 to 2025-07-24,Vendor_cb01ffdd
No,Violation - Over Limit,Entertainment,2025-07-19,Company Paid,Training session,643,2025-07-19 to 2025-07-19,Vendor_a2b9ea4a
Yes,Violation - Over Limit,Office Supplies / Softwares,2025-07-21,IBCP,Office stationery,616,2025-07-21 to 2025-07-21,Vendor_4077b53c
Yes,Within Policy,Training,2025-07-26,Out - of - pocket,Misc work expense,4347,2025-07-26 to 2025-07-27,Vendor_673b313e
Yes,Within Policy,Entertainment,2025-07-06,Out - of - pocket,Training session,442,2025-07-06 to 2025-07-06,Vendor_ca59274a
No,Violation - Alcohol Purchase,Dinner,2025-07-27,Out - of - pocket,Local commute,4133,2025-07-27 to 2025-07-29,Vendor_8a6c1661
No,Violation - Over Limit,Entertainment,2025-07-08,Out - of - pocket,Office stationery,4680,2025-07-08 to 2025-07-10,Vendor_a77a0fca
Yes,Violation - Alcohol Purchase,Entertainment,2025-07-17,IBCP,Business snacks,1684,2025-07-17 to 2025-07-19,Vendor_2ab74018
No,Within Policy,Office Supplies / Softwares,2025-07-27,IBCP,Client meeting travel,4174,2025-07-27 to 2025-07-30,Vendor_b2eca9aa
Yes,Within Policy,Hotel,2025-07-04,Company Paid,Team outing,1330,2025-07-04 to 2025-07-05,Vendor_20c50a17
No,Violation - Over Limit,Travel,2025-07-15,Company Paid,Team outing,2263,2025-07-15 to 2025-07-18,Vendor_d705fc3c
Yes,Within Policy,Training,2025-07-05,IBCP,Client meeting travel,4090,2025-07-05 to 2025-07-06,Vendor_5a4d472b
Yes,Within Policy,Training,2025-07-07,Out - of - pocket,Team outing,4266,2025-07-07 to 2025-07-07,Vendor_50006cce
Yes,Violation - Over Limit,Hotel,2025-07-08,IBCP,Office stationery,2630,2025-07-08 to 2025-07-09,Vendor_d97aa930
No,Within Policy,Miscellaneous,2025-07-23,IBCP,Business snacks,440,2025-07-23 to 2025-07-25,Vendor_595d94d5
No,Violation - Alcohol Purchase,Training,2025-07-01,Out - of - pocket,Team outing,3804,2025-07-01 to 2025-07-04,Vendor_da306c1b
No,Within Policy,Conference,2025-07-08,IBCP,Conference accommodation,3263,2025-07-08 to 2025-07-10,Vendor_746ea9d3
No,Within Policy,Miscellaneous,2025-07-18,IBCP,Misc work expense,4428,2025-07-18 to 2025-07-18,Vendor_174baccb
No,Within Policy,Snacks,2025-07-30,Company Paid,Team dinner,1077,2025-07-30 to 2025-07-30,Vendor_e2c88881
No,Violation - Alcohol Purchase,Transport,2025-07-05,Out - of - pocket,Local commute,3385,2025-07-05 to 2025-07-05,Vendor_8f03eb8d
Yes,Within Policy,Training,2025-07-15,IBCP,Team dinner,4591,2025-07-15 to 2025-07-18,Vendor_333567a4
Yes,Violation - Alcohol Purchase,Snacks,2025-07-12,IBCP,Training session,1119,2025-07-12 to 2025-07-14,Vendor_8533bb98
No,Within Policy,Dinner,2025-07-10,Out - of - pocket,Team outing,51,2025-07-10 to 2025-07-11,Vendor_3c5e395b
Yes,Violation - Alcohol Purchase,Conference,2025-07-18,Out - of - pocket,Client meeting travel,1653,2025-07-18 to 2025-07-21,Vendor_14691b3f
Yes,Within Policy,Training,2025-07-18,Company Paid,Local commute,1686,2025-07-18 to 2025-07-18,Vendor_b13010bc
No,Violation - Alcohol Purchase,Miscellaneous,2025-07-23,Out - of - pocket,Office stationery,3871,2025-07-23 to 2025-07-23,Vendor_c548272e
Yes,Violation - Alcohol Purchase,Entertainment,2025-07-19,Company Paid,Client meeting travel,1712,2025-07-19 to 2025-07-19,Vendor_4cd4ca73
Yes,Violation - Alcohol Purchase,Conference,2025-07-13,Company Paid,Local commute,1293,2025-07-13 to 2025-07-16,Vendor_d7f4029f
No,Within Policy,Travel,2025-07-30,IBCP,Training session,936,2025-07-30 to 2025-08-02,Vendor_2d67c00a
Yes,Within Policy,Entertainment,2025-07-09,IBCP,Conference accommodation,3728,2025-07-09 to 2025-07-11,Vendor_c599d75c
Yes,Within Policy,Dinner,2025-07-11,IBCP,Office stationery,4045,2025-07-11 to 2025-07-13,Vendor_93a06998
Yes,Violation - Over Limit,Travel,2025-07-10,Out - of - pocket,Client meeting travel,4656,2025-07-10 to 2025-07-11,Vendor_22a65741
No,Violation - Alcohol Purchase,Entertainment,2025-07-21,Company Paid,Office stationery,2157,2025-07-21 to 2025-07-24,Vendor_e21e0fb1
Yes,Violation - Alcohol Purchase,Dinner,2025-07-20,Company Paid,Local commute,4760,2025-07-20 to 2025-07-21,Vendor_84ff3963
Yes,Violation - Alcohol Purchase,Entertainment,2025-07-18,IBCP,Training session,3235,2025-07-18 to 2025-07-18,Vendor_0b452049
No,Violation - Over Limit,Training,2025-07-11,Company Paid,Training session,3480,2025-07-11 to 2025-07-13,Vendor_37066a03
Yes,Within Policy,Dinner,2025-07-18,IBCP,Team outing,3540,2025-07-18 to 2025-07-18,Vendor_1da4722f
Yes,Violation - Alcohol Purchase,Miscellaneous,2025-07-14,Out - of - pocket,Conference accommodation,3272,2025-07-14 to 2025-07-17,Vendor_45128523
Yes,Violation - Over Limit,Office Supplies / Softwares,2025-07-04,IBCP,Conference accommodation,1175,2025-07-04 to 2025-07-07,Vendor_34a04d35
No,Violation - Alcohol Purchase,Conference,2025-07-23,Out - of - pocket,Local commute,77,2025-07-23 to 2025-07-23,Vendor_96acd7f1
No,Violation - Alcohol Purchase,Snacks,2025-07-26,IBCP,Misc work expense,890,2025-07-26 to 2025-07-26,Vendor_fc6dcbd2
Yes,Violation - Over Limit,Office Supplies / Softwares,2025-07-01,Out - of - pocket,Conference accommodation,950,2025-07-01 to 2025-07-01,Vendor_382ecf20
No,Violation - Over Limit,Transport,2025-07-23,Company Paid,Misc work expense,4607,2025-07-23 to 2025-07-26,Vendor_8e41e62a
Yes,Within Policy,Transport,2025-07-30,Company Paid,Team outing,50,2025-07-30 to 2025-08-02,Vendor_c490f735
Yes,Violation - Over Limit,Entertainment,2025-07-18,IBCP,Misc work expense,4027,2025-07-18 to 2025-07-21,Vendor_8d1fb3cc
Yes,Within Policy,Training,2025-07-26,Out - of - pocket,Office stationery,4737,2025-07-26 to 2025-07-28,Vendor_66144fea
No,Within Policy,Dinner,2025-07-19,IBCP,Misc work expense,342,2025-07-19 to 2025-07-20,Vendor_262bced6
No,Violation - Alcohol Purchase,Transport,2025-07-19,Out - of - pocket,Local commute,3863,2025-07-19 to 2025-07-20,Vendor_6e27e232
No,Violation - Alcohol Purchase,Travel,2025-07-27,Out - of - pocket,Conference accommodation,3706,2025-07-27 to 2025-07-30,Vendor_1c85741c
Yes,Within Policy,Entertainment,2025-07-30,IBCP,Local commute,3142,2025-07-30 to 2025-08-01,Vendor_f952e649
Yes,Within Policy,Dinner,2025-07-25,IBCP,Training session,623,2025-07-25 to 2025-07-26,Vendor_50d204de
Yes,Violation - Over Limit,Travel,2025-07-09,Company Paid,Team dinner,2967,2025-07-09 to 2025-07-11,Vendor_83ed9326
No,Violation - Alcohol Purchase,Hotel,2025-07-29,IBCP,Business snacks,4678,2025-07-29 to 2025-08-01,Vendor_7371894f
No,Within Policy,Transport,2025-07-30,Out - of - pocket,Misc work expense,2206,2025-07-30 to 2025-07-30,Vendor_a4a0ec45
No,Violation - Over Limit,Entertainment,2025-07-30,Out - of - pocket,Office stationery,2808,2025-07-30 to 2025-07-30,Vendor_31c85edc
Yes,Violation - Over Limit,Entertainment,2025-07-31,Out - of - pocket,Business snacks,1980,2025-07-31 to 2025-08-01,Vendor_20f79ae7
Yes,Within Policy,Miscellaneous,2025-07-03,IBCP,Client meeting travel,1272,2025-07-03 to 2025-07-06,Vendor_c03a73e4
Yes,Violation - Alcohol Purchase,Conference,2025-07-08,IBCP,Conference accommodation,3136,2025-07-08 to 2025-07-11,Vendor_0e829db7
Yes,Within Policy,Snacks,2025-07-03,IBCP,Client meeting travel,1319,2025-07-03 to 2025-07-03,Vendor_e466682a
No,Violation - Over Limit,Snacks,2025-07-09,Company Paid,Business snacks,2056,2025-07-09 to 2025-07-11,Vendor_3c23041f
Yes,Within Policy,Training,2025-07-10,Out - of - pocket,Team outing,1426,2025-07-10 to 2025-07-11,Vendor_e8916f62
No,Violation - Alcohol Purchase,Office Supplies / Softwares,2025-07-07,Out - of - pocket,Training session,1898,2025-07-07 to 2025-07-10,Vendor_642cea34
No,Violation - Over Limit,Hotel,2025-07-06,Out - of - pocket,Training session,2976,2025-07-06 to 2025-07-08,Vendor_6a58cc77
Yes,Violation - Over Limit,Transport,2025-07-19,Company Paid,Client meeting travel,3723,2025-07-19 to 2025-07-19,Vendor_93b60748
No,Violation - Over Limit,Hotel,2025-07-14,IBCP,Misc work expense,258,2025-07-14 to 2025-07-17,Vendor_87e36332
Yes,Within Policy,Snacks,2025-07-15,Out - of - pocket,Office stationery,1248,2025-07-15 to 2025-07-18,Vendor_8fecf4f4
No,Within Policy,Entertainment,2025-07-26,Out - of - pocket,Conference accommodation,3065,2025-07-26 to 2025-07-27,Vendor_92ceac8a
Yes,Violation - Over Limit,Dinner,2025-07-22,Company Paid,Misc work expense,4580,2025-07-22 to 2025-07-24,Vendor_34083792
No,Violation - Alcohol Purchase,Miscellaneous,2025-07-31,Out - of - pocket,Team dinner,4561,2025-07-31 to 2025-08-01,Vendor_008377c5
No,Violation - Over Limit,Training,2025-07-22,Company Paid,Client meeting travel,2723,2025-07-22 to 2025-07-25,Vendor_1a8b2d1e
No,Violation - Alcohol Purchase,Dinner,2025-07-12,IBCP,Business snacks,2602,2025-07-12 to 2025-07-15,Vendor_609392fc
No,Violation - Over Limit,Dinner,2025-07-01,Company Paid,Misc work expense,2180,2025-07-01 to 2025-07-04,Vendor_6ec8214c
Yes,Violation - Alcohol Purchase,Hotel,2025-07-14,Company Paid,Misc work expense,2360,2025-07-14 to 2025-07-14,Vendor_e8034740
No,Violation - Alcohol Purchase,Dinner,2025-07-02,IBCP,Business snacks,256,2025-07-02 to 2025-07-02,Vendor_58b9de05
No,Violation - Over Limit,Dinner,2025-07-17,IBCP,Team outing,4041,2025-07-17 to 2025-07-17,Vendor_5dc9249c
Yes,Violation - Alcohol Purchase,Training,2025-07-31,Company Paid,Local commute,1538,2025-07-31 to 2025-07-31,Vendor_fef8b1da
Yes,Within Policy,Travel,2025-07-23,Out - of - pocket,Business snacks,2464,2025-07-23 to 2025-07-23,Vendor_a106d6d9
No,Violation - Over Limit,Conference,2025-07-27,IBCP,Training session,2480,2025-07-27 to 2025-07-28,Vendor_89fb02d7
Yes,Violation - Alcohol Purchase,Training,2025-07-28,IBCP,Team dinner,2178,2025-07-28 to 2025-07-31,Vendor_1560cb21
No,Within Policy,Miscellaneous,2025-07-03,IBCP,Conference accommodation,1388,2025-07-03 to 2025-07-04,Vendor_6cd418d8
No,Violation - Alcohol Purchase,Training,2025-07-11,Out - of - pocket,Local commute,596,2025-07-11 to 2025-07-13,Vendor_abe78fb8
Yes,Within Policy,Travel,2025-07-26,Company Paid,Conference accommodation,4384,2025-07-26 to 2025-07-26,Vendor_28748594
No,Violation - Alcohol Purchase,Dinner,2025-07-25,IBCP,Local commute,160,2025-07-25 to 2025-07-25,Vendor_938d3afd
No,Within Policy,Transport,2025-07-19,Company Paid,Client meeting travel,4446,2025-07-19 to 2025-07-22,Vendor_d09ff13e
Yes,Within Policy,Dinner,2025-07-20,IBCP,Training session,1478,2025-07-20 to 2025-07-23,Vendor_b5014933
No,Within Policy,Transport,2025-07-22,Out - of - pocket,Client meeting travel,4855,2025-07-22 to 2025-07-24,Vendor_0acf22be
No,Violation - Alcohol Purchase,Training,2025-07-08,Out - of - pocket,Team dinner,1552,2025-07-08 to 2025-07-08,Vendor_5b56aaf6
No,Violation - Over Limit,Training,2025-07-18,Out - of - pocket,Misc work expense,4525,2025-07-18 to 2025-07-21,Vendor_ff855dcf
No,Within Policy,Snacks,2025-07-09,Out - of - pocket,Team outing,4414,2025-07-09 to 2025-07-11,Vendor_ce5069bc
No,Violation - Alcohol Purchase,Travel,2025-07-03,Out - of - pocket,Office stationery,4668,2025-07-03 to 2025-07-03,Vendor_f9e79b3e
No,Within Policy,Transport,2025-07-06,Company Paid,Business snacks,331,2025-07-06 to 2025-07-06,Vendor_bac531df
No,Violation - Alcohol Purchase,Transport,2025-07-03,Company Paid,Team outing,4865,2025-07-03 to 2025-07-06,Vendor_29b64962
Yes,Violation - Alcohol Purchase,Miscellaneous,2025-07-19,Out - of - pocket,Team outing,3627,2025-07-19 to 2025-07-22,Vendor_9aecc8a0
Yes,Within Policy,Miscellaneous,2025-07-25,Company Paid,Team dinner,4183,2025-07-25 to 2025-07-26,Vendor_eda34854
Yes,Violation - Alcohol Purchase,Entertainment,2025-07-05,Out - of - pocket,Misc work expense,881,2025-07-05 to 2025-07-06,Vendor_bbaddcc6
No,Within Policy,Transport,2025-07-05,IBCP,Office stationery,3086,2025-07-05 to 2025-07-06,Vendor_8cf48776
No,Violation - Alcohol Purchase,Hotel,2025-07-23,IBCP,Conference accommodation,749,2025-07-23 to 2025-07-25,Vendor_09b5c498
Yes,Violation - Alcohol Purchase,Miscellaneous,2025-07-15,Company Paid,Team outing,3754,2025-07-15 to 2025-07-18,Vendor_b4e29eab
Yes,Violation - Alcohol Purchase,Miscellaneous,2025-07-02,Out - of - pocket,Office stationery,2628,2025-07-02 to 2025-07-03,Vendor_36608d86
No,Violation - Alcohol Purchase,Training,2025-07-18,Out - of - pocket,Training session,3919,2025-07-18 to 2025-07-20,Vendor_ea8c52e7
No,Violation - Alcohol Purchase,Training,2025-07-02,Company Paid,Business snacks,4594,2025-07-02 to 2025-07-03,Vendor_d4673d22
Yes,Within Policy,Entertainment,2025-07-21,Company Paid,Business snacks,2129,2025-07-21 to 2025-07-23,Vendor_89727497
No,Violation - Over Limit,Miscellaneous,2025-07-22,Company Paid,Team dinner,1423,2025-07-22 to 2025-07-25,Vendor_b00ecf94
No,Violation - Over Limit,Snacks,2025-07-05,Out - of - pocket,Misc work expense,278,2025-07-05 to 2025-07-08,Vendor_37f068eb
Yes,Within Policy,Hotel,2025-07-18,Out - of - pocket,Client meeting travel,4422,2025-07-18 to 2025-07-21,Vendor_0d524b07
No,Violation - Over Limit,Hotel,2025-07-10,IBCP,Conference accommodation,1112,2025-07-10 to 2025-07-11,Vendor_fa704d27
Yes,Violation - Alcohol Purchase,Training,2025-07-14,Out - of - pocket,Team outing,1892,2025-07-14 to 2025-07-14,Vendor_25800a17
Yes,Violation - Alcohol Purchase,Travel,2025-07-02,Out - of - pocket,Team dinner,243,2025-07-02 to 2025-07-05,Vendor_62c427b1
Yes,Violation - Over Limit,Transport,2025-07-16,IBCP,Training session,4840,2025-07-16 to 2025-07-16,Vendor_6e28bb82
Yes,Violation - Alcohol Purchase,Entertainment,2025-07-25,IBCP,Misc work expense,2336,2025-07-25 to 2025-07-27,Vendor_804053a4
Yes,Violation - Over Limit,Miscellaneous,2025-07-13,IBCP,Local commute,3102,2025-07-13 to 2025-07-14,Vendor_ef003d9e
Yes,Violation - Over Limit,Transport,2025-07-26,Out - of - pocket,Local commute,1231,2025-07-26 to 2025-07-29,Vendor_ce9cb27f
No,Violation - Alcohol Purchase,Snacks,2025-07-21,Out - of - pocket,Client meeting travel,2359,2025-07-21 to 2025-07-23,Vendor_d899270d
Yes,Violation - Over Limit,Office Supplies / Softwares,2025-07-06,Out - of - pocket,Training session,4691,2025-07-06 to 2025-07-07,Vendor_06b408f6
No,Within Policy,Training,2025-07-14,Out - of - pocket,Client meeting travel,2600,2025-07-14 to 2025-07-17,Vendor_9447cdc4
